OID_;province;total_area;roman_5km_buffer_area;modern_5km_buffer_area;roman_buffer_area_percentage;modern_buffer_area_percentage;mean_elevaation;mean_tpi_5km;road_length;road_density;site_count;site_density;modern_population
0;Achaia;39016,705994600000849;26114,5996094;20658,9003906;66,931840973400000;52,948858351799998;500,8489990;-2,2177999;5765532,963729999959469;147,770879594999997;555;0,014224675965100;5233190,0000000
1;Aegyptus;637305,008779000025243;117508,0000000;107846,0000000;18,438267137600000;16,922195575800000;238,5599976;-0,0451903;14342233,807299999520183;22,504505079600001;576;0,000903805857581;107002000,0000000
2;Aemilia (Regio VIII);23352,117056800001592;9914,7001953;14193,7998047;42,457393354099999;60,781640354799997;236,2500000;-0,6659410;1350324,454499999992549;57,824498362000000;61;0,002612182863400;4753940,0000000
3;Africa Proconsularis;303543,318840999971144;101787,0000000;90468,3984375;33,532940335699998;29,804114543800001;270,2890015;-0,0319941;13937647,012599999085069;45,916500701799997;1208;0,003979662621510;15300900,0000000
4;Alpes Cottiae;9703,789730500000587;3886,2500000;3205,3200684;40,048786174599996;33,031631531400002;1786,0600586;-1,1660800;464648,911490999977104;47,883241949300000;21;0,002164102951860;475436,0000000
5;Alpes Graiae;3551,761037260000194;1321,6199951;414,2950134;37,210273474300003;11,664495698900000;2263,8999023;7,1358900;169803,947462000011001;47,808381724100002;7;0,001970853310950;56083,0000000
6;Alpes Maritimae;6556,024625979999655;2169,2800293;2546,7399902;33,088344737200003;38,845796584399999;1291,6700439;1,3255301;275898,242101999989245;42,083161342700002;14;0,002135440422920;781247,0000000
7;Alpes Poeninae;3749,386794420000115;1948,5899658;1623,9599609;51,970897446999999;43,312681512499999;1716,0999756;-2,9447601;237821,704980000009527;63,429493413099998;6;0,001600261677170;352270,0000000
8;Apulia et Calabria (Regio II);26790,333453600000212;17842,0000000;17184,9003906;66,598648467399997;64,145899566300002;284,5400085;-0,2311650;2737901,990869999863207;102,197383829000003;170;0,006345572379470;4650160,0000000
9;Aquitania;169871,031798999989405;78942,7031250;73272,8984375;46,472139651500001;43,134428313900003;331,3750000;0,0119289;10061793,291500000283122;59,231954883299998;501;0,002949296267260;11323300,0000000
10;Arabia;88402,064347299994552;34475,3984375;30632,6992188;38,998408795099998;34,651565486499997;606,6489868;-0,0027546;4693688,454629999585450;53,094783354699999;214;0,002420757949260;12376900,0000000
11;Asia;119179,754681000005803;67000,3984375;40266,0000000;56,217936189600003;33,785939657100002;679,9459839;-0,2518220;9829866,966159999370575;82,479335458199998;461;0,003868106636350;13030900,0000000
12;Baetica;77797,871567199996207;36282,1015625;30094,0000000;46,636367848699997;38,682292193599999;412,2919922;-0,3112220;4623062,097570000216365;59,424017706900003;282;0,003624777829000;7602560,0000000
13;Belgica;90208,052951499994379;64385,8007812;63338,8984375;71,374781601699993;70,214239599600006;181,5659943;-0,0360658;9952266,507500000298023;110,325699112999999;224;0,002483148595620;17305400,0000000
14;Bithynia et Pontus;65357,367844400003378;26358,8007812;25917,8007812;40,330266732900000;39,655514957299999;700,1959839;-0,8944370;3700051,107770000118762;56,612608949900000;181;0,002769389373680;14778600,0000000
15;Britannia;170239,095261999987997;82368,3984375;117461,0000000;48,383949827000002;68,997664619399998;135,6679993;-0,1429060;11583568,433700000867248;68,042939348800004;823;0,004834377195990;63384400,0000000
16;Bruttium et Lucania (Regio III);26200,645164000001387;15286,5000000;15677,9003906;58,343983151200000;59,837840986300002;550,4979858;-1,5126801;2334746,728310000151396;89,110276243000001;162;0,006183053851770;2583260,0000000
17;Cappadocia;172570,917654999997467;78581,2031250;49099,8007812;45,535600200099999;28,451955548699999;1337,8100586;-0,2967030;10570193,293899999931455;61,251301421699999;249;0,001442885066520;9100880,0000000
18;Cilicia;39797,665576400002465;21134,6992188;9092,9804688;53,105374178700004;22,848024719700000;929,7340088;-0,3513470;3244146,573890000116080;81,516001677600002;112;0,002814235417530;5393590,0000000
19;Corsica;8723,079075760000705;1118,4300537;4314,1000977;12,821505388100000;49,456161754199996;565,7760010;-2,1991200;156342,424641999998130;17,922848490100002;34;0,003897706269160;323234,0000000
20;Creta;8265,390954070000589;4795,5898438;4672,2998047;58,020121134000000;56,528479180900000;484,1250000;-6,0289898;818913,410712999990210;99,077395765500000;148;0,017905989060000;597105,0000000
21;Cyprus;9246,370102520000728;6845,2001953;5858,7099609;74,031215703200004;63,362269690500000;296,8179932;-2,1914599;1368336,164580000098795;147,986306995000007;68;0,007354237311080;1278000,0000000
22;Cyrene;386416,676502000016626;51141,5000000;44546,8007812;13,234806650399999;11,528177609900000;124,6350021;-0,0737509;6023004,347649999894202;15,586812666000000;176;0,000455466885108;2213540,0000000
23;Dacia;119295,570581000007223;46088,6015625;55231,8007812;38,633000000000003;46,298000000000002;461,7969971;-0,0866128;6126911,254189999774098;51,359084200300003;225;0,001886071703280;7850650,0000000
24;Dalmatia;91221,230645599993295;45280,8007812;49941,1015625;49,638445415400000;54,747235056000001;775,2269897;-0,5453620;6645965,449180000461638;72,855467988599997;137;0,001501843365090;5174880,0000000
25;Epirus;24181,519556899998861;11722,7001953;10768,2001953;48,477930295999997;44,530701100000002;696,5050049;-0,8352620;1900840,040629999944940;78,607137825099997;198;0,008188071040540;755910,0000000
26;Etruria (Regio VII);29424,848778499999753;10902,7001953;17778,9003906;37,052697457800001;60,421382364499998;341,0440063;0,1002580;1454342,663759999908507;49,425663143000001;189;0,006423142610610;4721540,0000000
27;Galatia;107298,389125000001513;45463,5000000;33500,3984375;42,371092772899999;31,221716104700000;1112,7099609;0,1286940;5797974,536539999768138;54,035988646400000;165;0,001537767727410;9406710,0000000
28;Germania Inferior;42730,391619900001388;24897,9003906;34730,5000000;58,267428513399999;81,278216003599994;137,6580048;0,0023547;3769438,729720000177622;88,214467193499999;117;0,002738098003890;20454600,0000000
29;Germania Superior;98257,413608899994870;51291,8984375;66354,1015625;52,201555642099997;67,530885584499998;505,1539917;0,0313732;6981550,569419999606907;71,053677407099997;245;0,002493450529600;25973300,0000000
30;Hispania Citerior;385102,448034000000916;204023,0000000;150644,0000000;52,978889394600003;39,117902461800000;752,8740234;-0,0410831;27344438,103999998420477;71,005620046299995;583;0,001513882871890;37127700,0000000
31;Iudaea;17536,891825800001243;13451,5000000;14200,0000000;76,704014221099996;80,972159382900003;188,1710052;-1,3732600;2320224,328110000118613;132,305333872999995;230;0,013115208914100;12977100,0000000
32;Latium et Campania (Regio I);18128,311372000000119;13960,7998047;11952,5996094;77,011032733299999;65,933331373800002;419,1210022;-0,5584570;2604575,130530000198632;143,674448054000010;438;0,024161103095200;10327500,0000000
33;Liguria (Regio IX);13770,313478100000793;6340,8300781;8299,2802734;46,047100439700003;60,269363414499999;503,1929932;-0,7780350;908770,013625000021420;65,994867514800006;38;0,002759559545280;2598270,0000000
34;Lugdunensis;159417,522001000004821;102056,0000000;88657,6015625;64,018056935600001;55,613461086100003;165,0379944;-0,0464549;15220115,848999999463558;95,473293386799995;260;0,001630937407230;27134200,0000000
35;Lusitania;120495,381781999996747;69493,6015625;53962,3984375;57,673248994900000;44,783789751500002;415,4639893;-0,1386910;9357629,332469999790192;77,659651300199997;185;0,001535328551720;8376220,0000000
36;Lycia et Pamphylia;24523,246293500000320;19265,9003906;8855,5898438;78,561786478200005;36,111001528000003;957,1309814;-1,4205101;3704795,649170000106096;151,072806789999987;155;0,006320533511140;2533690,0000000
37;Macedonia;80841,190063799993368;37502,3007812;38466,6015625;46,390089942600000;47,582923423200000;616,8699951;-0,8274870;5183370,157920000143349;64,117934852600001;341;0,004218146711240;6523820,0000000
38;Mauretania Caesariensis;204810,616433999995934;70858,3984375;61868,6015625;34,597033919099999;30,207712197599999;687,5889893;-0,1756160;10421880,296000000089407;50,885449580000000;450;0,002197151728920;32223300,0000000
39;Mauretania Tingitana;51498,665464400000928;9379,4199219;16332,2001953;18,212937825299999;31,713831898399999;441,7130127;-0,6302450;1245569,527890000026673;24,186442826400000;97;0,001883543954490;11338600,0000000
40;Moesia Inferior;64113,799510600001668;35591,0000000;31646,5996094;55,512230240100003;49,360043939000001;226,9960022;-0,2080530;5250852,707019999623299;81,898947607200000;166;0,002589146194220;3153180,0000000
41;Moesia Superior;56878,919901599998411;28401,5000000;29286,3007812;49,933261829000003;51,488848297300002;551,9160156;-0,0907970;4024084,166220000013709;70,748252132499999;160;0,002812992937920;6458050,0000000
42;Narbonensis;94128,304133500001626;42964,8984375;44571,1015625;45,645036137699996;47,351433740099999;547,5130005;-0,1332470;5987569,761490000411868;63,610725983099996;374;0,003973300097590;13592400,0000000
43;Noricum;61421,820874299999559;25160,9003906;29249,6992188;40,964106945200001;47,621022630699997;890,6550293;0,4486480;3281519,499040000140667;53,425955993000002;82;0,001335030431090;5978960,0000000
44;Numidia;112091,445760000002338;53173,0000000;35794,1015625;47,437161363599998;31,932946640000001;451,9869995;-0,1266240;7593346,510579999536276;67,742426365300005;655;0,005843443231180;10507800,0000000
45;Pannonia Inferior;28572,695599099999527;17896,3007812;17746,5996094;62,634275156800001;62,110344289399997;142,1880035;0,0119054;2400786,649790000170469;84,023806625600002;95;0,003324852556190;3943970,0000000
46;Pannonia Superior;70577,785612399995443;37665,1992188;36729,8984375;53,366932515599999;52,041726895799997;224,5480042;-0,1238390;5046674,014750000089407;71,505133959099993;81;0,001147669897790;7407820,0000000
47;Picenum (Regio V);6421,786344109999845;2727,0000000;4491,8398438;42,464819816099997;69,946890211799996;333,0830078;-0,7812200;426685,675158000027295;66,443455495699993;34;0,005294476984770;1540770,0000000
